name,description,oldprice,price,discount,category,category,promo,url,picture,picture,picture,picture,keywords
"Топ Bucharest Floral","Кто не любит кружева? Этот романтичный топ идеально дополнит Ваш нежный образ и подчеркнет женственность.",3300,1650,50%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-bucharest-floral-WFWT56724-003/,https://juicycouture.ru/upload/iblock/7a3/7a3766dc2c2d5b070f25a69fa4611540.jpg,https://juicycouture.ru/upload/iblock/f7e/f7e4325b1cf3101c02cff885ac9a4f11.jpg,https://juicycouture.ru/upload/iblock/c86/c861cbffbb7d91ecf52feddb92ee991a.jpg,,
"Куртка Iridescent","Эта куртка идеально сочетает в себе комфортный силуэт и благородные оттенки так, что с легкостью впишется в Ваш гардероб этой осенью!",27990,11196,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/kurtka-iridescent/,https://juicycouture.ru/upload/iblock/393/393a13da49ddf7e2a16ca5b14a2f8eb9.jpg,https://juicycouture.ru/upload/iblock/a6d/a6d2374b52a088f1204189724e04e7f9.jpg,https://juicycouture.ru/upload/iblock/686/686279369e4e33c387a4384257d062e1.jpg,,
"Жилет Iridescent","Этот жилет идеально сочетает в себе комфортный силуэт и благородные оттенки так, что с легкостью впишется в Ваш гардероб этой осенью!",19990,7996,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/zhilet-iridescent/,https://juicycouture.ru/upload/iblock/934/9342efc0e8db380047d74fe229f345d2.jpg,https://juicycouture.ru/upload/iblock/920/92014b53792ac0c4cffe19f943410f40.jpg,https://juicycouture.ru/upload/iblock/ca9/ca9ab915958c2479a48e0bf67da79296.jpg,,
"Кардиган Maramures Floral","Выдержанный в спортивном стиле и украшенный цветочным принтом жакет окружит Ваш не только комфортом, но и элегантной роскошью. Вам захочется носить его снова и снова!",25990,10396,60%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/kardigan-maramures-floral/,https://juicycouture.ru/upload/iblock/ba4/ba473c0ccf698db8a64b73dadab4fe33.jpg,https://juicycouture.ru/upload/iblock/60d/60d758ecbe93fcb14b355c20b14abfda.jpg,https://juicycouture.ru/upload/iblock/f07/f073e9d9f09b6b01aab447ae7c0e7e54.jpg,,
"Жакет двухсторонний","Роскошь золота или элегантность черного? С этой двухсторонней курткой решать только Вам!",29990,11996,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/zhaket-dvukhstoronniy/,https://juicycouture.ru/upload/iblock/a33/a33159ce41ab21f34f87467fe195481c.jpg,https://juicycouture.ru/upload/iblock/398/3986db455be94855be4f3a8f771f8797.jpg,https://juicycouture.ru/upload/iblock/a0b/a0bff227ba1529dc3563da77cad2189b.jpg,,
Жакет,"Вы полюбите эту модель за ее универсальность. Джинсовый жилет и теплый жакет - две самостоятельные единицы, с которыми Вы сможете бесконечно разнообразить Ваши образы в любую погоду. Соединившись вместе они позволят Вам не только окружить себя теплом и комфортом, но и выглядеть действительно стильно!",36490,14596,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/zhaket-WFWJ53336/,https://juicycouture.ru/upload/iblock/886/886300890ab9e8c8e1801e61826f9224.jpg,https://juicycouture.ru/upload/iblock/f7b/f7b9e43f911e83c41adcfcb1181fccfc.jpg,https://juicycouture.ru/upload/iblock/af2/af2c74c6aa0580b30366c42e2f16d201.jpg,,
"Кардиган Color Block","Стильные контрастные вставки и яркие элементы заставят Вас полюбить эту ретро-модель! Для большего комфорта модель дополняют эластичные резинки на манжетах и нижней кромке. ",11000,5500,50%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/kardigan-color-block/,https://juicycouture.ru/upload/iblock/26d/26d4094cbf9a5ab419bab8e901bf6f78.jpg,https://juicycouture.ru/upload/iblock/8ab/8abdfd26476c3dec9a914c31878cb371.jpg,https://juicycouture.ru/upload/iblock/8c3/8c3294f33c9d735ccc4b7fb2aa3c80d9.jpg,,
"Пуловер Roma Floral Mirror","Свободный силуэт и рукав-реглан добавят Вашему образу легкой небрежности, а цветочный узор подчеркнет женственность.Эта толстовка настолько мягкая и комфортная, что Вам не захочется ее снимать!",25990,10396,60%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/pulover-roma-floral-mirror/,https://juicycouture.ru/upload/iblock/484/4843e44747734bf0b86808c962eb1792.jpg,https://juicycouture.ru/upload/iblock/a43/a43c1cde48de67e516d7c8fd12fff353.jpg,https://juicycouture.ru/upload/iblock/f1e/f1ea57bf4f9fe8e375a63c4449399a24.jpg,,
Кардиган,"Элегантный кардиган на пуговицах несомненно станет Вашим осенним фаворитом! Ажурная сетчатая вставка на спинке и вышивка, вдохновленная сочными цветами, дополнят Вам образ яркими красками и женственностью.",29990,10497,65%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/kardigan-WFST53129/,https://juicycouture.ru/upload/iblock/963/963b8c14532668976be986e2865276cb.jpg,https://juicycouture.ru/upload/iblock/527/5279e62e94adba0e18551cf0d9b00cdb.jpg,https://juicycouture.ru/upload/iblock/426/426bb564eb2c05e12fa16dc1c12d2ac3.jpg,,
"Кардиган Multi Yarn Chain","Яркий твидовый кардиган безусловно принесет удовольствие и приятно разнообразит Ваш рабочий гардероб. Смелые цвета и декоративные золотые цепи сделают этот кардиган Вашим фаворитом для офисного образа!",29990,8997,70%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/kardigan-multi-yarn-chain/,https://juicycouture.ru/upload/iblock/cbf/cbfd1a17c1b3741509703fa98e40faef.jpg,https://juicycouture.ru/upload/iblock/6b7/6b72d299cb4a67e68e5375c53a221942.jpg,https://juicycouture.ru/upload/iblock/fad/fad560fc1411af13965677d0da039d0b.jpg,,
